UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:000854096800005,Massive data language models and conversational artificial intelligence:,"O'Leary, DE","O'Leary, Daniel E.",INTELLIGENT SYSTEMS IN ACCOUNTING FINANCE & MANAGEMENT,2022,,,,,10.1002/isaf.1522,,,,,,182,,1099-1174,198,3,"O'Leary, Daniel Edmund/0000-0002-5240-9516",JUL,,,J,"O'Leary, Daniel Edmund/B-6469-2008",,1055-615X,,29.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001429256100001,Large Language Models meet moral values: A comprehensive assessment of,"Bulla, L","Bulla, Luana",COMPUTERS IN HUMAN BEHAVIOR REPORTS,2025,,,,,10.1016/j.chbr.2025.100609,,,,,100609,,FEB 2025,,,,"Bulla, Luana/0000-0003-1165-853X; Gangemi, Aldo/0000-0001-5568-2684;",MAR,,,J,"De Giorgis, Stefano/JAN-7418-2023; Gangemi, Aldo/C-7420-2013; Mongiovì,",,2451-9588,,17.0,,True,,,董恒清,2026-05-25,initial
WOS:001344973800001,Application of Gan Embroidery (Yuzhang Embroidery) in Neo-Chinese-style,"Lin, YP","Lin, Yanping",FIBRES & TEXTILES IN EASTERN EUROPE,2024,,,,,10.2478/ftee-2024-0028,,,,,,15,,2300-7354,26,5,"Yang, Chen/0000-0003-1593-7739; Lin, Yanping/0009-0005-7851-2924",OCT 1,,,J,"Yang, Chen/HSH-1765-2023",,1230-3666,,32.0,,True,,,董恒清,2026-05-25,initial
WOS:001631714500002,A Method for Extracting Dissatisfaction Entities in the Pharmaceutical,"Ota, K","Ota, Kakeru",EAI ENDORSED TRANSACTIONS ON SCALABLE INFORMATION SYSTEMS,2025,,,,,10.4108/eetsis.10511,,,,,10511,,,,,5,"Iwano, Maya/0009-0001-3934-4826;",,,,J,"; Iwano, Maya/PKQ-5270-2026",,2032-9407,,12.0,,True,,,董恒清,2026-05-25,initial
WOS:001458625400001,Symbol grounding for generative AI: lessons learned from interpretive,"Neumann, M","Neumann, Martin",FRONTIERS IN COMPUTER SCIENCE,2025,,,,,10.3389/fcomp.2025.1508004,,,,,1508004,,,2624-9898,,,"dirksen, vanessa/0000-0002-8867-6456",MAR 21,,,J,,,,,7.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001256935400001,Bioinformatics and biomedical informatics with ChatGPT: Year one review,"Wang, J","Wang, Jinge",QUANTITATIVE BIOLOGY,2024,,,,,10.1002/qub2.67,,,,,,345,JUN 2024,2095-4697,359,4,"Cheng, Zien/0009-0007-4010-230X",DEC,39364207.0,,J,"Xu, Dong/Y-8605-2018; Hu, Gangqing/ABA-3507-2020",,2095-4689,,12.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001627750600017,Preserving and enhancing cultural heritage through art design using,"Fu, X","Fu, Xing",SCIENTIFIC REPORTS,2025,,,,,10.1038/s41598-025-26564-2,,,,,42603,,,,,1,,NOV 28,41315302.0,,J,"Razmjooy, Navid/D-4912-2012",,2045-2322,,15.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001193324600008,The General,"Petrovic, A","Petrovic, Andrej",GREECE & ROME,2024,,,,,10.1017/S0017383523000335,,,,,,177,,1477-4550,182,1,,APR,,,J,,,0017-3835,,71.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001011691000001,Similarity evaluation of graphic design based on deep visual saliency,"Liu, ZH","Liu, Zhuohua",JOURNAL OF SUPERCOMPUTING,2023,,,,,10.1007/s11227-023-05468-w,,,,,,21346,JUN 2023,1573-0484,21367,18,"An, Jingrui/0000-0002-7807-3491; Bin, Yang/0000-0002-1170-4105",DEC,,,J,,,0920-8542,,79.0,,True,,,董恒清,2026-05-25,initial
WOS:001623599100001,A Qualitative Approach to EFL Postgraduates' GenAI-Assisted Research,"Fuentes, AC","Curado Fuentes, Alejandro",EDUCATION SCIENCES,2025,,,,,10.3390/educsci15111521,,,,,1521,,,2227-7102,,11,"Curado Fuentes, Alejandro/0000-0002-8842-1621",NOV 11,,,J,"Curado Fuentes, Alejandro/HTR-7023-2023",,,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001497893600001,An Artificial Intelligence (AI) Agent-Based Question-and-Answer (Q&A),"Li, XL","Li, Xiali",ICGA JOURNAL,2025,,,,,10.1177/13896911251343450,,,,,,95,MAY 2025,2468-2438,111,2,,MAY,,,J,"Fan, Xiaoyu/NFU-0613-2025",,1389-6911,,47.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001580092500001,Enhancing Ancient Ceramic Knowledge Services: A Question Answering,"Chen, Z","Chen, Zhi",INFORMATION,2025,,,,,10.3390/info16090792,,,,,792,,,2078-2489,,9,,SEP 11,,,J,,,,,16.0,,True,,,董恒清,2026-05-25,initial
WOS:001475083000001,Quantifying Relational Exploration in Cultural Heritage Knowledge Graphs,"Maree, M","Maree, Mohammed",DATA,2025,,,,,10.3390/data10040052,,,,,52,,,2306-5729,,4,"Maree, Mohammed/0000-0002-6114-4687",APR 10,,,J,"Maree, Mohammed/J-6009-2019",,,,10.0,,True,,,董恒清,2026-05-25,initial
WOS:001393838600001,Advancing a Vision Foundation Model for Ming-Style Furniture Image,"Wan, YT","Wan, Yingtong",SENSORS,2025,,,,,10.3390/s25010096,,,,,96,,,1424-8220,,1,"Tang, He/0000-0002-8454-1407; Wang, Wanru/0009-0008-9265-0049",JAN,39796888.0,,J,"Tang, He/AAN-7118-2020",,,,25.0,,True,,,董恒清,2026-05-25,initial
WOS:001423627800001,A systematic literature review on the application of generative,"Wang, PJ","Wang, Peijun",INTERNET AND HIGHER EDUCATION,2025,,,,,10.1016/j.iheduc.2025.100996,,,,,100996,,FEB 2025,1873-5525,,,,APR,,,J,"wang, peijun/AGW-8757-2022",,1096-7516,,65.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001034886600001,Open Book Exams and Flexible Grading Systems: Post-COVID University,"Kang, D","Kang, Dongsuk",BEHAVIORAL SCIENCES,2023,,,,,10.3390/bs13070607,,,,,607,,,2076-328X,,7,,JUL,37504054.0,,J,"Kang, Dongsuk/A-1032-2019",,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001246293600001,Fine-tuning large language models for chemical text mining,"Zhang, W","Zhang, Wei",CHEMICAL SCIENCE,2024,,,,,10.1039/d4sc00924j,,,,,,10600,JUN 2024,2041-6539,10611,27,"Chen, Mingan/0000-0002-8559-3671; Cao, Duanhua/0009-0006-0140-7998;",JUL 10,38994403.0,,J,"Ni, Shengkun/KHY-1799-2024; Zheng, Mingyue/HSC-3509-2023; Xiong,",,2041-6520,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001564960500001,Transformer-Based Architectures Versus Large Language Models in Semantic,"Kuculo, T","Kuculo, Tin",SEMANTIC WEB,2025,,,,,10.1177/22104968251363759,,,,,22104968251363759,,,2210-4968,,5,"Kuculo, Tin/0000-0001-6874-8881",MAY,,,J,,,1570-0844,,16.0,,True,,,董恒清,2026-05-25,initial
WOS:001569559300001,Automatic Information Extraction from Scientific Publications Based on,"Feldhoff, K","Feldhoff, Kim",APPLIED SCIENCES-BASEL,2025,,,,,10.3390/app15179331,,,,,9331,,,2076-3417,,17,"Zimmermann, Martina/0000-0001-5498-1340; Träger,",AUG 25,,,J,"Zimmermann, Martina/U-4326-2017",,,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001651770700001,Augmenting assessment with AI coding of online student discourse: A,"Misiejuk, K","Misiejuk, Kamila",COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,2024,,,,,10.1016/j.caeai.2024.100216,,,,,100216,,,,,,,JUN,,,J,"Misiejuk, Kamila/HNQ-5678-2023",,2666-920X,,6.0,,True,,,董恒清,2026-05-25,initial
WOS:001636919900001,Deep Information Retrieval Using Neural Language Models for Accounting,"Shan, YX","Shan, Yuxin",JOURNAL OF CORPORATE ACCOUNTING AND FINANCE,2025,,,,,10.1002/jcaf.70019,,,,,,,DEC 2025,1097-0053,,,,2025 DEC 12,,,J,"Zhang, Hanyi/HNP-9986-2023",,1044-8136,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001417320300001,A fused large language model for predicting startup success,"Maarouf, A","Maarouf, Abdurahman",EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,2025,,,,,10.1016/j.ejor.2024.09.011,,,,,,198,APR 2025,1872-6860,214,1,"Pröllochs, Nicolas/0000-0002-1835-7302; Pröllochs,",APR 1,,,J,"Pröllochs, Nicolas/ABD-6599-2021",,0377-2217,,322.0,,True,,,董恒清,2026-05-25,initial
WOS:001610252000003,A tutorial on fine-tuning pretrained language models: Applications in,"Wang, Y","Wang, Yu",BEHAVIOR RESEARCH METHODS,2025,,,,,10.3758/s13428-025-02868-z,,,,,336,,,1554-3528,,12,"Qu, Wen/0000-0002-6194-3913",NOV 5,41193922.0,,J,"Qu, Wen/AAG-6630-2019",,1554-351X,,57.0,,True,,,董恒清,2026-05-25,initial
WOS:001528766100001,Research on the Construction of an AI Platform for Haipai New Year,"Zhao, YY","Zhao, Yueyang",INTERNATIONAL JOURNAL OF GAMING AND COMPUTER-MEDIATED SIMULATIONS,2025,,,,,10.4018/IJGCMS.383051,,,,,383051,,,1942-3896,,1,"ding, damin/0000-0001-9845-5377; Zhao, Yueyang/0009-0004-3309-4004;",,,,J,,,1942-3888,,17.0,,True,,,董恒清,2026-05-25,initial
WOS:001358601500001,Semantic layout-guided diffusion model for high-fidelity image synthesis,"Yang, R","Yang, Rui",EXPERT SYSTEMS WITH APPLICATIONS,2025,,,,,10.1016/j.eswa.2024.125645,,,,,125645,,NOV 2024,1873-6793,,,"Ota, Kaoru/0000-0002-3382-1652; Dong, Mianxiong/0000-0002-2788-3451;",MAR 5,,,J,"Ota, Kaoru/HDR-5303-2022; Dong, Mianxiong/O-7489-2019; Yang,",,0957-4174,,263.0,,True,,,董恒清,2026-05-25,initial
WOS:001642164700013,LLM-Integrated VR NPCs to Support Social Presence and Engagement in a,"Nielsen, MB","Nielsen, Markus Brondberg",IEEE TRANSACTIONS ON GAMES,2025,,,,,10.1109/TG.2025.3619578,,,,,,1125,,2475-1510,1134,4,"Kanne Mikkelsen, Rasmus/0009-0008-5621-280X; Nielsen, Markus",DEC,,,J,"; Nikolov, Ivan Adriyanov/AAD-3929-2020",,2475-1502,,17.0,,True,,,董恒清,2026-05-25,initial
WOS:001619640300001,Service innovation through generative AI art platforms: the MIND,"Lee, CT","Lee, Crystal T.",SERVICE INDUSTRIES JOURNAL,2026,,,,,10.1080/02642069.2025.2587593,,,,,,27,NOV 2025,1743-9507,62,1-2,,JAN 25,,,J,,,0264-2069,,46.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001452089500001,A Comparative Study of Vision Language Models for Italian Cultural,"Vitaloni, C","Vitaloni, Chiara",HERITAGE,2025,,,,,10.3390/heritage8030095,,,,,95,,,,,3,"BARACCHI, DANIELE/0000-0002-7364-1955; Vitaloni,",MAR 2,,,J,"BARACCHI, DANIELE/AHD-5162-2022",,2571-9408,,8.0,,True,,,董恒清,2026-05-25,initial
WOS:001189033500001,Using artificial intelligence to develop a machine translation system,"Novikova, ML","Novikova, Marina L.",NOVYE ISSLEDOVANIYA TUVY-NEW RESEARCH OF TUVA,2024,,,,,10.25178/nit.2024.1.1,,,,,,6,,2079-8482,17,1,,,,,J,"Novikov, Philipp/AAH-8064-2019; Novikova, Marina/A-6146-2017",,,,,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001198272000118,Performance of ChatGPT on Chinese Master's Degree Entrance Examination,"Li, KC","Li, Ke-Cheng",PLOS ONE,2024,,,,,10.1371/journal.pone.0301702,,,,,e0301702,,,1932-6203,,4,"Shahjalal/0000-0002-2218-8433; Bu, Zhijun/0009-0006-0051-1662",APR 4,38573944.0,,J,"Wang, Bin/PJA-6536-2026; Shahjalal/AAC-8316-2021",,,,19.0,,True,,,董恒清,2026-05-25,initial
WOS:001444023900001,Towards algorithmic framing analysis: expanding the scope by using LLMs,"Kuang, XW","Kuang, Xianwen",JOURNAL OF BIG DATA,2025,,,,,10.1186/s40537-025-01092-y,,,,,66,,,2196-1115,,1,"Liu, Jun/0000-0001-6066-4130",MAR 13,,,J,"Liu, Jun/Z-6358-2019",,,,12.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001435368100001,Developing a decision support system using different classification,"Kumandas, MT","Kumandas, Muberra Terzi",EXPERT SYSTEMS WITH APPLICATIONS,2025,,,,,10.1016/j.eswa.2025.127042,,,,,127042,,FEB 2025,1873-6793,,,"MURAT, Naci/0000-0003-2655-2367;",MAY 15,,,J,"MURAT, Naci/NOE-6328-2025; Terzi Kumandaş, Müberra/OAJ-5843-2025",,0957-4174,,274.0,,True,,,董恒清,2026-05-25,initial
WOS:001557513600001,NLP-Based Restoration of Damaged Student Essay Archives for Educational,"Olaniyan, J","Olaniyan, Julius",ELECTRONICS,2025,,,,,10.3390/electronics14163189,,,,,3189,,,,,16,"Obagbuwa, Ibidun Christiana/0000-0002-7965-2823",AUG 11,,,J,"Olaniyan, Julius/ABC-5820-2022; Verkijika, Silas/ABB-1090-2020;",,2079-9292,,14.0,,True,,,董恒清,2026-05-25,initial
WOS:001579250900004,Cognition-enhanced instruction framework: Accelerating structured,"Zheng, YJ","Zheng, Yuejiu",JOURNAL OF ENERGY CHEMISTRY,2025,,,,,10.1016/j.jechem.2025.07.056,,,,,,167,AUG 2025,,177,,,DEC,,,J,"Han, Xuebing/JFJ-4053-2023; 郑, 岳久/AAH-2956-2020; ouyang,",,2095-4956,,111.0,,True,,,董恒清,2026-05-25,initial
WOS:001570955800002,Harnessing large language models for structured extraction of cytochrome,"Alkarmouty, M","Alkarmouty, Mariam",INTERNATIONAL JOURNAL OF PHARMACEUTICS,2025,,,,,10.1016/j.ijpharm.2025.126111,,,,,126111,,AUG 2025,1873-3476,,,,NOV 10,40858183.0,,J,,,0378-5173,,684.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001474760600001,ChurnKB: A Generative AI-Enriched Knowledge Base for Customer Churn,"Shahabikargar, M","Shahabikargar, Maryam",ALGORITHMS,2025,,,,,10.3390/a18040238,,,,,238,,,1999-4893,,4,"Zhang, Xuyun/0000-0001-7353-4159; Foo, Eu Jin/0009-0002-0451-2655;",APR 21,,,J,"Zhang, Xuyun/ADR-2749-2022; Jolfaei, Alireza/GQH-6907-2022; mansoor,",,,,18.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001235610800002,ConvSRGAN: super-resolution inpainting of traditional Chinese paintings,"Hu, QY","Hu, Qiyao",HERITAGE SCIENCE,2024,,,,,10.1186/s40494-024-01279-1,,,,,176,,,,,1,"Zhang, Xiang/0000-0001-8521-569X",MAY 31,,,J,"Tengfei, Li/AAF-6869-2020; Hu, Qiyao/NKP-2768-2025",,2050-7445,,12.0,,True,,,董恒清,2026-05-25,initial
WOS:001396680500001,FuncFetch: an LLM-assisted workflow enables mining thousands of,"Smith, N","Smith, Nathaniel",BIOINFORMATICS,2025,,,,,10.1093/bioinformatics/btae756,,,,,btae756,,,1367-4811,,1,"Moghe, Gaurav/0000-0002-8761-064X; Melissinos,",JAN 15,39718779.0,,J,"; Yuan, Xinyu/KFS-4073-2024",,1367-4803,,41.0,,True,,,董恒清,2026-05-25,initial
WOS:001458367000001,Evaluating generative AI tools in Arabic academic libraries: a,"Ammar, ASA","Ammar, Abdelrahman Saber Abdelrahman",GLOBAL KNOWLEDGE MEMORY AND COMMUNICATION,2025,,,,,10.1108/GKMC-07-2024-0448,,,,,,,APR 2025,2514-9350,,,"Eldakar, Metwaly/0000-0002-6919-7265; Ammar, Abdelrahman Saber",2025 APR 7,,,J,"Shehata, Ahmed/N-1531-2017; Eldakar, Metwaly/AAS-3892-2021",,2514-9342,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001634645700005,An LLM-based QA system for Chinese Painting and Calligraphy with,"Wan, J","Wan, Jing",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-02219-3,,,,,643,,,3059-3220,,1,,DEC 9,,,J,,,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:000980426300001,Enhanced Text-to-Image Synthesis With Self-Supervision,"Tan, YX","Tan, Yong Xuan",IEEE ACCESS,2023,,,,,10.1109/ACCESS.2023.3268869,,,,,,39508,,,39519,,"Tan, Yong Xuan/0000-0002-5512-9501; Lee, Chin Poo/0000-0003-3679-8977;",,,,J,"Neo, Mai/AFD-0224-2022; Lee, Chin Poo/LFR-7675-2024; Lim, Kian",,2169-3536,,11.0,,True,,,董恒清,2026-05-25,initial
WOS:001349557500002,Using large language models to create narrative events,"Bartalesi, V","Bartalesi, Valentina",PEERJ COMPUTER SCIENCE,2024,,,,,10.7717/peerj-cs.2242,,,,,e2242,,,2376-5992,,,"De Martino, Claudio/0009-0003-3548-5597;",OCT 22,39650368.0,,J,"; Bartalesi, Valentina/HLH-6468-2023",,,,10.0,,True,,,董恒清,2026-05-25,initial
WOS:001606545000001,A guided ungrading example for independent research projects in an,"O'Connell, CS","O'Connell, Christine S.",JOURNAL OF MICROBIOLOGY & BIOLOGY EDUCATION,2025,,,,,10.1128/jmbe.00175-25,,,,,,,OCT 2025,1935-7885,,3,"O'Connell, Christine/0000-0002-5373-7933",DEC 9,41170964.0,,J,,,1935-7877,,26.0,,True,,,董恒清,2026-05-25,initial
WOS:001348538300001,MultiSentimentArcs: a novel method to measure coherence in multimodal,"Chun, J","Chun, Jon",FRONTIERS IN COMPUTER SCIENCE,2024,,,,,10.3389/fcomp.2024.1444549,,,,,1444549,,,2624-9898,,,,OCT 24,,,J,,,,,6.0,,True,,,董恒清,2026-05-25,initial
WOS:001182015400001,From manual to machine: assessing the efficacy of large language models,"Pilny, A","Pilny, Andrew",COMMUNICATION RESEARCH REPORTS,2024,,,,,10.1080/08824096.2024.2327547,,,,,,61,MAR 2024,1746-4099,70,2,,MAR 14,,,J,"Pilny, Andrew/AEN-1657-2022",,0882-4096,,41.0,,True,,,董恒清,2026-05-25,initial
WOS:001474514600001,"Multisensory Museums, Hybrid Realities, Narration, and Technological","Pietroni, E","Pietroni, Eva",HERITAGE,2025,,,,,10.3390/heritage8040130,,,,,130,,,,,4,"PIETRONI, EVA/0000-0002-1942-4167",APR 3,,,J,"PIETRONI, EVA/AAY-1419-2020",,2571-9408,,8.0,,True,,,董恒清,2026-05-25,initial
WOS:001375772100049,RaViT-AE: Unsupervised Anomaly Detection for Intelligent Cultural,"Kwon, D","Kwon, Dohyung",IEEE ACCESS,2024,,,,,10.1109/ACCESS.2024.3509988,,,,,,180767,,,180780,,"Kwon, Dohyung/0009-0002-7333-9948",,,,J,,,2169-3536,,12.0,,True,,,董恒清,2026-05-25,initial
WOS:000680079500003,Knowledge-based generative adversarial networks for scene understanding,"Garozzo, R","Garozzo, Raissa",JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS,2021,,,,,10.1016/j.jasrep.2020.102736,,,,,102736,,,,,,"Garozzo, Raissa/0000-0003-0098-0400; SANTAGATI,",FEB,,,J,"Garozzo, Raissa/MBG-4791-2025; SANTAGATI, Cettina/I-5195-2017",,2352-409X,,35.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:000709461800109,Bridging heterogeneous mutation data to enhance disease gene discovery,"Zhou, KY","Zhou, Kaiyin",BRIEFINGS IN BIOINFORMATICS,2021,,,,,10.1093/bib/bbab079,,,,,bbab079,,APR 2021,1477-4054,,5,"zhou, kaiyin/0000-0002-7314-9776; Xia, Jingbo/0000-0002-7285-588X; Meng,",SEP,33847357.0,,J,"ma, xiaohang/AAE-4165-2021; Xia, Jingbo/E-6796-2011",,1467-5463,,22.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001393049000073,Text mining of practical disaster reports: Case study on Cascadia,"Lensing, JC","Lensing, Julia C.",PLOS ONE,2025,,,,,10.1371/journal.pone.0313259,,,,,e0313259,,,,,1,"Lensing, Julia Carier/0009-0006-7607-4016; Wang,",JAN 7,39774456.0,,J,"; Choe, John/NGQ-7941-2025",,1932-6203,,20.0,,True,,,董恒清,2026-05-25,initial
WOS:001293380200001,Digital twin of wooden heritage through multidimensional model,"Ma, XY","Ma, Xueyi",STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,2025,,,,,10.1177/14759217241262969,,,,,,2876,AUG 2024,1741-3168,2894,5,"Zhao, Jian/0000-0001-9303-6528;",SEP,,,J,"Ma, xueyi/OCK-5137-2025; 杜, 家怡/HSH-7637-2023",,1475-9217,,24.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001307004000001,Development of a Metaverse Art Gallery of Image Chronicles (MAGIC) for,"Yap, KYL","Yap, Kevin Yi-Lwern",INFORMATION,2024,,,,,10.3390/info15080431,,,,,431,,,2078-2489,,8,"Toh, Phylaine/0009-0001-9035-8879; Ho, Jayen/0009-0001-6557-5652",AUG,,,J,"; Yap, Kevin/AAC-7396-2019",,,,15.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001391625300012,Assessing the accuracy and efficiency of Chat GPT-4 Omni (GPT-4o) in,"Meo, AS","Meo, Anusha S.",SAUDI MEDICAL JOURNAL,2024,,,,,10.15537/smj.2024.45.12.20240454,,,,,,1383,,1658-3175,1390,12,"Sultan Meo, Anusha/0000-0001-5213-3233; Meo, Sultan",DEC 1,39658118.0,,J,"Sultan Meo, Anusha/D-6719-2015; Meo, Sultan Ayoub/D-6719-2015; Shaikh,",,0379-5284,,45.0,,True,,,董恒清,2026-05-25,initial
WOS:001344718100001,MED-ChatGPT CoPilot: a ChatGPT medical assistant for case mining and,"Liu, W","Liu, Wei",FRONTIERS IN MEDICINE,2024,,,,,10.3389/fmed.2024.1460553,,,,,1460553,,,2296-858X,,,,OCT 16,39478827.0,,J,,,,,11.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001391207900001,Optimal design of ceramic form combining stable diffusion model and,"Kang, XH","Kang, Xinhui",ADVANCED ENGINEERING INFORMATICS,2025,,,,,10.1016/j.aei.2024.103062,,,,,103062,,DEC 2024,1873-5320,,,"Kang, Xinhui/0000-0002-9313-7844",MAR,,,J,,,1474-0346,,64.0,,True,,,董恒清,2026-05-25,initial
WOS:001651577400024,Examining the relationship between the L2 motivational self system and,"Huang, J","Huang, Jerry",COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,2024,,,,,10.1016/j.caeai.2024.100302,,,,,100302,,,,,,,DEC,,,J,"Mizumoto, Atsushi/W-3864-2018; Huang, Jerry/NWH-9820-2025",,2666-920X,,7.0,,True,,,董恒清,2026-05-25,initial
WOS:001363171300013,ChatGPT in higher education: Measurement instruments to assess student,"Köhler, C","Koehler, Carmen",CONTEMPORARY EDUCATIONAL TECHNOLOGY,2024,,,,,10.30935/cedtech/15144,,,,,ep528,,,1309-517X,,4,", Carmen/0000-0002-6668-4658; Hartig, Johannes/0000-0001-6361-4374;",OCT,,,J,"; Köhler, Carmen/ABG-6643-2021",,,,16.0,,True,,,董恒清,2026-05-25,initial
WOS:001587270100050,Navigating the Web of Disinformation and Misinformation: Large Language,"Shah, SB","Shah, Siddhant Bikram",IEEE ACCESS,2025,,,,,10.1109/ACCESS.2024.3406644,,,,,,169262,,,169282,,,,,,J,"Naseem, Usman/AAA-1052-2021; Thapa, Surendrabikram/NCV-4781-2025;",,2169-3536,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001535621500001,Machine Learning in the Design Decision-Making of Traditional Garden,"Yan, LN","Yan, Lina",BUILDINGS,2025,,,,,10.3390/buildings15142401,,,,,2401,,,2075-5309,,14,"Zhang, Yi/0009-0000-8623-0867; jia, jiaxingkang/0009-0005-6625-8754;",JUL 9,,,J,"; Chen, Yile/AAT-5466-2021; Zheng, Liang/HLH-7803-2023",,,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:000443993700018,A multi feature fusion method for reassembly of 3D cultural heritage,"Zhang, YH","Zhang, Yuhe",JOURNAL OF CULTURAL HERITAGE,2018,,,,,10.1016/j.culher.2018.03.001,,,,,,191,,1778-3674,200,,"Zhang, Yuhe/0000-0002-2469-4946; Geng, Guohua/0009-0005-8886-0332",SEP-OCT,,,J,"Zhang, Yuhe/HIK-0418-2022",,1296-2074,,33.0,,True,,,董恒清,2026-05-25,initial
WOS:001453851900001,Empowering Education with Intelligent Systems: Exploring Large Language,"Fragakis, N","Fragakis, Nikos",ELECTRONICS,2025,,,,,10.3390/electronics14061210,,,,,1210,,,,,6,"Fragakis, Nikos/0009-0002-4892-7297; Caridakis,",MAR 19,,,J,"; Caridakis, George/AAS-6607-2021; Trichopoulos, Georgios/LXA-2671-2024",,2079-9292,,14.0,,True,,,董恒清,2026-05-25,initial
WOS:000694865800006,Modelling spatio-temporal ageing phenomena with deep Generative,"Papadopoulos, S","Papadopoulos, Stavros",SIGNAL PROCESSING-IMAGE COMMUNICATION,2021,,,,,10.1016/j.image.2021.116200,,,,,116200,,FEB 2021,1879-2677,,,"Tzovaras, Dimitrios/0000-0001-6915-6722; Dimitriou,",MAY,,,J,"Tzovaras, Dimitrios/ABB-9576-2021; Drosou, Anastasios/AAV-5969-2020;",,0923-5965,,94.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001130595500001,Classifying Crowdsourced Citizen Complaints through Data Mining:,"Madyatmadja, ED","Madyatmadja, Evaristus D.",INFORMATICS-BASEL,2023,,,,,10.3390/informatics10040084,,,,,84,,,2227-9709,,4,"Sianipar, Corinthias P. M/0000-0003-0718-6162;",DEC,,,J,"Sianipar, Corinthias P. M/J-4952-2012; Madyatmadja,",,,,10.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001456468900001,Can AI help make California police policy human centered?,"Coleman, CN","Coleman, Catherine Nicole",AI & SOCIETY,2025,,,,,10.1007/s00146-025-02298-7,,,,,,5297,MAR 2025,1435-5655,5314,7,"Liu, Jiaju/0000-0002-5021-8302; Coleman, Catherine/0000-0002-3360-1975",OCT,,,J,,,0951-5666,,40.0,,True,,,董恒清,2026-05-25,initial
WOS:001588478500001,Integrating critical corpus and AI literacies in applied linguistics: a,"Perez-Paredes, P","Perez-Paredes, Pascual",COMPUTER ASSISTED LANGUAGE LEARNING,2025,,,,,10.1080/09588221.2025.2569351,,,,,,,SEP 2025,1744-3210,,,"Pérez-Paredes, Pascual/0000-0002-2796-338X; Curry,",2025 SEP 30,,,J,"Pérez-Paredes, Pascual/AAA-3696-2019; Aguado-Jimenez, Pilar/G-6495-2011;",,0958-8221,,,,True,,,董恒清,2026-05-25,initial
WOS:001427032300001,Evaluating and Advancing Large Language Models for Water Knowledge Tasks,"Xu, BY","Xu, Boyan",ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS,2025,,,,,10.1021/acs.estlett.5c00038,,,,,,289,FEB 2025,,296,3,"Wang, Chengzhi/0009-0008-3634-0329; Su, Qingxian/0000-0003-0664-6710;",FEB 20,,,J,"Wang, Chengzhi/OAJ-9119-2025; Su, Qingxian/AIC-5976-2022; Ng, How",,2328-8930,,12.0,,True,,,董恒清,2026-05-25,initial
