UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:001193964400001,How Generative AI Was Mentioned in Social Media and Academic Field? A,"Zhang, WC","Zhang, Wenchao",IEEE ACCESS,2024,,,,,10.1109/ACCESS.2024.3379010,,,,,,43940,,,43947,,"Zhang, Wenchao/0009-0009-4835-0206",,,,J,"Zhang, Wenchao/NTP-9818-2025",,2169-3536,,12.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001633989600001,Dynamic Transmission and Innovative Transformation of Cultural Heritage:,"Li, XY","Li, Xinyang",APPLIED SCIENCES-BASEL,2025,,,,,10.3390/app152312651,,,,,12651,,,2076-3417,,23,,NOV 28,,,J,"li, xinyang/KHX-9985-2024",,,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001431690400001,Empowering African American Tourism Entrepreneurs with Generative AI:,"George, B","George, Babu",SOCIETIES,2025,,,,,10.3390/soc15020034,,,,,34,,,2075-4698,,2,"George, Babu/0000-0002-2791-828X",FEB,,,J,"George, Babu/B-7232-2013",,,,15.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001393351500001,Mapping the multidimensional trend of generative AI: A bibliometric,"Obreja, DM","Obreja, Dragos M.",COMPUTERS IN HUMAN BEHAVIOR REPORTS,2025,,,,,10.1016/j.chbr.2024.100576,,,,,100576,,DEC 2024,,,,"Obreja, Dragoş/0000-0001-6146-8721;",MAR,,,J,"Obreja, Dragos/AAV-8141-2020; Rughinis, Razvan/G-5367-2016",,2451-9588,,17.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001528182500001,Task-Technology Fit Leads to Conflict: The Double-Edged-Sword Effect of,"Qian, PB","Qian, Pengbo",INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,2026,,,,,10.1080/10447318.2025.2526580,,,,,,1867,JUL 2025,1532-7590,1891,3,"谢, 兴政/0000-0001-9652-1916; pengbo, qian/0000-0003-1595-5566",FEB 1,,,J,,,1044-7318,,42.0,,True,,,董恒清,2026-05-25,initial
WOS:001277577800001,"Generative Artificial Intelligence, Human Agency and the Future of","Spennemann, DHR","Spennemann, Dirk H. R.",HERITAGE,2024,,,,,10.3390/heritage7070170,,,,,,3597,,,3609,7,"Spennemann, Dirk/0000-0003-2639-7950",JUL,,,J,"Spennemann, Dirk/J-4199-2016",,2571-9408,,7.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001622736400001,Automated learning support literature classification using large,"Zhang, J","Zhang, Jie",ELECTRONIC LIBRARY,2026,,,,,10.1108/EL-03-2025-0099,,,,,,27,NOV 2025,1758-616X,50,1,,FEB 5,,,J,"Zhao, Ruixue/OHT-8864-2025",SI,0264-0473,,44.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001368299200001,Investigating generative AI models and detection techniques: impacts of,"Hua, HW","Hua, Haowei",FRONTIERS IN ARTIFICIAL INTELLIGENCE,2024,,,,,10.3389/frai.2024.1469197,,,,,1469197,,,2624-8212,,,,NOV 19,39628838.0,,J,"Hua, Haowei/MTC-1675-2025",,,,7.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001399833200001,Generative AI tools (ChatGPT*) in social science research,"Sebastian, R","Sebastian, Rigin",JOURNAL OF INFORMATION COMMUNICATION & ETHICS IN SOCIETY,2025,,,,,10.1108/JICES-10-2024-0145,,,,,,284,JAN 2025,1758-8871,290,2,"Niyas, Mohammed K K/0000-0002-6416-3656; Sebastian,",APR 3,,,J,"; Thomas, Toney/ABB-1901-2020; Kottekkadan, Noufal Naheem/HTR-1535-2023",,1477-996X,,23.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001274970400001,Start Generating: Harnessing Generative Artificial Intelligence for,"Davidson, T","Davidson, Thomas",SOCIUS,2024,,,,,10.1177/23780231241259651,,,,,23780231241259651,,,,,,"Davidson, Thomas/0000-0002-5947-7490",,,,J,"Davidson, Thomas/AAF-8558-2019",,2378-0231,,10.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
