UT,TI,AU,PY,SO,DE,AB,DI
WOS:001516787100003,Intelligent restoration expert system design for Jingdezhen export,"Kang, XH",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01890-w
WOS:001579766200001,Simulating Public Opinion: Comparing Distributional and Individual-Level,"Miranda, F",2025,ENTROPY,,,10.3390/e27090923
WOS:001516787100002,Low-rank structure guided diffusion for Shaanxi temple mural restoration,"Lei, T",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01827-3
WOS:000861466100001,Pulsed infrared thermographic study of a Chinese Bronze Lei,"Yang, X",2022,HERITAGE SCIENCE,,,10.1186/s40494-022-00791-6
WOS:001513279200001,PAPEA: A modular pipeline for the automation of protest event analysis,"Haunss, S",2025,POLITICAL SCIENCE RESEARCH AND METHODS,,,10.1017/psrm.2025.10013
WOS:001612596200001,Semantic and Sketch-Guided Diffusion Model for Fine-Grained Restoration,"Zhao, L",2025,ELECTRONICS,,,10.3390/electronics14214187
WOS:001351381100001,ChatTf: A Knowledge Graph-Enhanced Intelligent Q&A System for Mitigating,"Xu, J",2024,IEEE ACCESS,,,10.1109/ACCESS.2024.3485877
WOS:001585869000001,TRACE: applying AI language models to extract ancestry information from,"Veintimilla, AM",2025,FRONTIERS IN DIGITAL HEALTH,,,10.3389/fdgth.2025.1608370
WOS:000750878700008,GPTs and growth: evidence on the technological adoption of electrical,"Petralia, S",2021,EUROPEAN REVIEW OF ECONOMIC HISTORY,,,10.1093/erehj/heaa022
WOS:001489966400001,Building an end-to-end battery recipe knowledge base via,"Lee, D",2025,COMMUNICATIONS MATERIALS,,,10.1038/s43246-025-00825-z
WOS:001432846600001,Improving Software Development Traceability with Structured Prompting,"Kim, DK",2025,JOURNAL OF COMPUTER INFORMATION SYSTEMS,,,10.1080/08874417.2025.2470919
WOS:001529326800002,Portrait of the City: Case Study on Bridging Place Identity and,"Guo, WW",2025,ENTERTAINMENT COMPUTING,,,10.1016/j.entcom.2025.100989
WOS:001504437100001,Estimating wage disparities using foundation models,"Vafa, K",2025,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF,,,10.1073/pnas.2427298122
WOS:001376592500045,Few-Shot Learning for Clinical Natural Language Processing Using Siamese,"Oniani, D",2023,JMIR AI,,,10.2196/44293
WOS:001512520200001,"""Such comparison fails to ..."": The neglected open-ended negatives in","Xu, CC",2025,JOURNAL OF ENGLISH FOR ACADEMIC PURPOSES,,,10.1016/j.jeap.2025.101539
WOS:001333822300001,Rationalism in the face of GPT hypes: Benchmarking the output of large,"Babaiha, NS",2024,ARTIFICIAL INTELLIGENCE IN THE LIFE SCIENCES,,,10.1016/j.ailsci.2024.100095
WOS:001618084300027,SegCycle-SPADE: An end-to-end framework for semantic segmentation-based,"Huang, B",2025,PLOS ONE,,,10.1371/journal.pone.0329100
WOS:001397061300009,Mapping AI's Integration into Linguistics- A Bibliometric and Thematic,"Al Nafjan, E",2024,ARAB WORLD ENGLISH JOURNAL,,,10.24093/awej/vol15no4.9
WOS:001513006500001,Does AI at Work Increase Stress? Text Mining Social Media About Human-AI,"Klonek, F",2025,JOURNAL OF ORGANIZATIONAL BEHAVIOR,,,10.1002/job.70000
WOS:001206293500001,Kansei engineering for the intelligent connected vehicle functions: An,"Lai, XJ",2024,ADVANCED ENGINEERING INFORMATICS,,,10.1016/j.aei.2024.102467
WOS:001074530800001,Datasets Construction and Development of QSAR Models for Predicting,"Khondkaryan, L",2023,TOXICS,,,10.3390/toxics11090785
WOS:001436226300001,Automatic recognition of cross-language classic entities based on large,"Xu, QK",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01624-y
WOS:001306557600004,Comprehensive review and comparative analysis of transformer models in,"Bashiri, H",2024,KNOWLEDGE AND INFORMATION SYSTEMS,,,10.1007/s10115-024-02214-3
WOS:000975859700010,The language model based on sensitive artificial intelligence-ChatGPT:,"Siche, R",2023,SCIENTIA AGROPECUARIA,,,10.17268/sci.agropecu.2023.010
WOS:001542763000007,Divergent strategies in text simplification: A comparative analysis of,"Hasebe, Y",2025,INTERCULTURAL PRAGMATICS,,,10.1515/ip-2025-2002
WOS:001620243200003,Promises and pitfalls of using LLMs to identify actor stances in,"Walker, V",2025,PLOS ONE,,,10.1371/journal.pone.0335547
WOS:001472745800001,The Mixed Subjects Design: Treating Large Language Models as Potentially,"Broska, D",2025,SOCIOLOGICAL METHODS & RESEARCH,,,10.1177/00491241251326865
WOS:000353976300002,Probabilistic topic modeling for the analysis and classification of,"La Rosa, M",2015,BMC BIOINFORMATICS,,,10.1186/1471-2105-16-S6-S2
WOS:001531065900023,Evidence-based Knowledge Synthesis and Hypothesis Validation: Navigating,"Pelletier, AR",2025,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,,,10.3791/67525
WOS:000357692600012,Fine-Grained Knowledge Sharing in Collaborative Environments,"Guan, ZY",2015,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,,,10.1109/TKDE.2015.2411283
WOS:001081779300001,An interpretable wide and deep model for online disinformation detection,"Chai, YD",2024,EXPERT SYSTEMS WITH APPLICATIONS,,,10.1016/j.eswa.2023.121588
WOS:001317964200001,Decomposing maintenance actions into sub-tasks using natural language,"Giordano, V",2025,COMPUTERS IN INDUSTRY,,,10.1016/j.compind.2024.104186
WOS:001461296600001,Can tourism be a mean for promoting inclusive development? A textual,"Meneghini, A",2025,CURRENT ISSUES IN TOURISM,,,10.1080/13683500.2025.2485381
WOS:001463181900001,Annotating scientific uncertainty: A comprehensive model using,"Ningrum, PK",2025,JOURNAL OF INFORMETRICS,,,10.1016/j.joi.2025.101661
WOS:001642636100004,All-in-one mural restoration with prompt-guided residual diffusion,"Jiang, C",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-02232-6
WOS:001515187300001,Audio Features in Education: A Systematic Review of Computational,"Pardo, F",2025,APPLIED SCIENCES-BASEL,,,10.3390/app15126911
WOS:001271657700001,From Bag-of-Words to Transformers: A Comparative Study for Text,"De Santis, E",2025,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,,,10.1109/TETCI.2024.3423444
WOS:001632299000002,CDiffu-DL: Few-shot line drawing extraction from Dunhuang murals via,"Ding, Y",2026,INFORMATION SCIENCES,,,10.1016/j.ins.2025.122931
WOS:001547485400001,"Beyond Linguistic Proficiency: Emotional, Cognitive, and Cultural","Yang, YY",2025,INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,,,10.1111/ijal.12832
WOS:001541272600001,A survey on the current status of AI literacy lectures in China's,"Wu, YB",2025,JOURNAL OF ACADEMIC LIBRARIANSHIP,,,10.1016/j.acalib.2025.103111
WOS:001545037100006,Political positioning of Recovery and Resilience Facility (RRF),"Kokény, L",2025,SUSTAINABLE FUTURES,,,10.1016/j.sftr.2025.101068
WOS:001652663000001,Exa-PSD: a new Persian sentiment analysis dataset on Twitter,"Ghaderi, SH",2025,LANGUAGE RESOURCES AND EVALUATION,,,10.1007/s10579-025-09886-5
WOS:001304982500001,Evaluating Activation Functions in GAN Models for Virtual Inpainting: A,"Maitin, AM",2024,APPLIED SCIENCES-BASEL,,,10.3390/app14166854
WOS:001619388000030,Dataset creation and benchmarking for Kashmiri news snippet,"Deyar, DU",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-24451-4
WOS:001619878800001,ChatGPT in the academia: exploring teachers' and students' practices and,"Begum, M",2026,ASIAN EDUCATION AND DEVELOPMENT STUDIES,,,10.1108/AEDS-06-2025-0257
WOS:001079303600001,Ode to Bayesian methods in metrology,"Meija, J",2023,METROLOGIA,,,10.1088/1681-7575/acf66b
WOS:001269609400001,Developing and Validating an Instrument for Assessing Learning Sciences,"Wang, X",2024,SUSTAINABILITY,,,10.3390/su16135607
WOS:001641313900030,Traditional clothing pattern extraction considering attention mechanism,"He, DD",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-27778-0
WOS:001391156600001,Using early LLMs for corpus linguistics: Examining ChatGPT's potential,"Uchida, S",2024,APPLIED CORPUS LINGUISTICS,,,10.1016/j.acorp.2024.100089
WOS:001651069100001,Reading the unreadable: creating a dataset of 19th century English,"Bourne, J",2026,DIGITAL SCHOLARSHIP IN THE HUMANITIES,,,10.1093/llc/fqaf151
WOS:000480461400004,Joint sentiment/topic modeling on text data using a boosted restricted,"Fatemi, M",2019,MULTIMEDIA TOOLS AND APPLICATIONS,,,10.1007/s11042-019-7427-5
WOS:001403794100001,From Heritage Building Information Modelling Towards an 'Echo-Based',"Arsalan, H",2025,HERITAGE,,,10.3390/heritage8010033
WOS:001598265100001,IntelliA: an intelligent educational assignment practicing platform,"Wang, ZH",2025,INTERNATIONAL JOURNAL OF INTELLIGENT COMPUTING AND CYBERNETICS,,,10.1108/IJICC-03-2025-0177
WOS:001459831000003,Exploring the application of ChatGPT in scientific topic analysis: a,"Muhetaer, M",2025,APPLIED INTELLIGENCE,,,10.1007/s10489-025-06498-y
WOS:001337864600001,The mining of China's policies against COVID-19 based on a policy target,"Huo, CG",2024,INFORMATION DEVELOPMENT,,,10.1177/02666669241289931
WOS:001561276000001,Toward satisfactory public accessibility: A crowdsourcing approach,"Li, LY",2025,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,,,10.1016/j.compenvurbsys.2025.102329
WOS:001556739200007,An innovative and sustainable design of intangible Miao wax printing,"Kang, XH",2025,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,,,10.1057/s41599-025-05724-9
WOS:001592166600001,Intelligent detection and model lightweight of masonry historical,"Zhengxi, Y",2025,STRUCTURES,,,10.1016/j.istruc.2025.110363
WOS:000945740600019,"Innovation Diffusion Processes: Concepts, Models, and Predictions","Guidolin, M",2023,ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION,,,10.1146/annurev-statistics-040220-091526
WOS:001667748700001,"MAPPING GENAI LITERACY: DISCIPLINARY DIFFERENCES, LATENT PROFILES, AND","Zhou, Y",2025,JOURNAL OF INFORMATION TECHNOLOGY EDUCATION-RESEARCH,,,10.28945/5675
WOS:001363311000004,A Bibliometric Review of Large Language Models Research from 2017 to,"Fan, LZ",2024,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,,,10.1145/3664930
WOS:001475342300001,AcademiCraft: Transforming Writing Assistance for English for Academic,"Du, ZD",2025,INFORMATION,,,10.3390/info16040254
WOS:001542452400031,HINTs: Sensemaking on Large Collections of Documents With Hypergraph,"Lee, SYT",2025,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,,,10.1109/TVCG.2024.3459961
WOS:001296335300001,Insights into wheat science: A bibliometric review using unsupervised,"Pérez-Pérez, M",2024,JOURNAL OF CEREAL SCIENCE,,,10.1016/j.jcs.2024.103960
WOS:001589381200001,A corpus-based approach to developing vocabulary curriculum materials,"Li, J",2025,COMPUTER ASSISTED LANGUAGE LEARNING,,,10.1080/09588221.2025.2569343
WOS:001255586700001,Annotation-preserving machine translation of English corpora to validate,"Seinen, TM",2024,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,10.1093/jamia/ocae159
WOS:001412890600001,Improving drug repositioning with negative data labeling using large,"Picard, M",2025,JOURNAL OF CHEMINFORMATICS,,,10.1186/s13321-025-00962-0
WOS:001472301100001,From Foundations to GPT in Text Classification: A Comprehensive Survey,"Siino, M",2025,FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,,,10.1561/1500000107
WOS:001381255400002,Harnessing the integration of chat GPT in higher education: the,"Altamimi, A",2024,DISCOVER SUSTAINABILITY,,,10.1007/s43621-024-00774-6
WOS:001260274000001,Pre-trained language models in medicine: A survey *,"Luo, XD",2024,ARTIFICIAL INTELLIGENCE IN MEDICINE,,,10.1016/j.artmed.2024.102904
WOS:001480467000018,Knowledge-Centered Dual-Process Reasoning for Math Word Problems With,"Liu, JY",2025,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,,,10.1109/TKDE.2025.3556367
WOS:001471664400001,Cognitive Echo: Enhancing think-aloud protocols with LLM-based simulated,"Zheng, LW",2025,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,,,10.1111/bjet.13590
WOS:001641551600035,NATYA-AI: A Cultural AI Framework for Multimodal Interpretation of,"Veena, G",2025,IEEE ACCESS,,,10.1109/ACCESS.2025.3639088
WOS:001421063400001,The Mediating Role of Place Attachment in the Relationship Between,"Zhang, C",2024,JOURNAL OF CONSTRUCTION IN DEVELOPING COUNTRIES,,,10.21315/jcdc.2024.29.S1.10
WOS:001253862500001,A Survey on Evaluation of Large Language Models,"Chang, YP",2024,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,,,10.1145/3641289
WOS:000853642000001,Machine learning for conservation of architectural heritage,"Karadag, I",2023,OPEN HOUSE INTERNATIONAL-SUSTAINABLE & SMART ARCHITECTURE AND URBAN,,,10.1108/OHI-05-2022-0124
WOS:001324069400001,A comprehensive review of existing corpora and methods for creating,"Abdulah, MHA",2024,JOURNAL OF DATA AND INFORMATION SCIENCE,,,10.2478/jdis-2024-0029
WOS:001312175500001,"Where has hydrogeologic science been, and where is it going? Research","Christenson, C",2024,HYDROGEOLOGY JOURNAL,,,10.1007/s10040-024-02829-4
WOS:001575264600001,Multiverse simulation to explore the impact of analytical choices on,"Bognar, M",2025,BEHAVIOR RESEARCH METHODS,,,10.3758/s13428-025-02807-y
WOS:001199325200001,Nanjing Yunjin intelligent question-answering system based on knowledge,"Xu, L",2024,HERITAGE SCIENCE,,,10.1186/s40494-024-01231-3
WOS:000992259800001,Using natural language processing to support peer-feedback in the age of,"Bauer, E",2023,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,,,10.1111/bjet.13336
WOS:000708973900001,Toward Robust Monitoring of Malicious Outbreaks,"Tang, SJ",2022,INFORMS JOURNAL ON COMPUTING,,,10.1287/ijoc.2021.1077
WOS:000704052100005,A mathematical comparison of non-negative matrix factorization related,"Nijs, M",2021,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,,,10.1002/rcm.9181
WOS:001059144000001,Fostering digital transformation in education: technology enhanced,"Mondragon-Estrada, E",2023,FRONTIERS IN EDUCATION,,,10.3389/feduc.2023.1250461
WOS:000651952000001,Building Extraction and Number Statistics in WUI Areas Based on UNet,"Chen, DY",2021,REMOTE SENSING,,,10.3390/rs13061172
WOS:001646615800001,Minimal Computing and Weak AI for Historical Research: The Case of Early,"Sander, C",2025,HISTORIES,,,10.3390/histories5040059
WOS:001169859600020,Ambitions and (in)successes of mass tourism on the Gran Sasso d'Italia.,"Paolucci, M",2023,DISEGNARECON,,,10.20365/disegnarecon.31.2023.11
WOS:001451015900001,Relic2Contour: Salient contour detection in relics using semi-supervised,"Yu, Z",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01606-0
WOS:000703555200001,The kinetic of calcium silicate hydrate formation from silica and,"Camerini, R",2022,JOURNAL OF COLLOID AND INTERFACE SCIENCE,,,10.1016/j.jcis.2021.06.168
WOS:000616692300005,Memory Effects in Repeated Survey Questions Reviving the Empirical,"Schwarz, H",2020,SURVEY RESEARCH METHODS,,,10.18148/srm/2020.v14i3.7579
WOS:001367206300001,The application of scaffolding instruction and AI-driven diffusion,"Liu, R",2025,EDUCATION AND INFORMATION TECHNOLOGIES,,,10.1007/s10639-024-13135-7
WOS:001185794000001,How (de)motivating teaching styles shape message framing outcomes on,"Santana-Monagas, E",2024,LEARNING AND INDIVIDUAL DIFFERENCES,,,10.1016/j.lindif.2024.102420
WOS:001210055000001,"The Mathematical Modeling, Diffusivity, Energy, and Enviro-Economic","Metwally, KA",2024,SUSTAINABILITY,,,10.3390/su16083506
